"AT000B053517","CECE BONUS III    ","        ","2010/09/24",1962.00        ,1.87     ,1926.00        ,1539.00        ,2059.00        ,0            ,.00                ,"1900/01/01","8","2","C"
"AT000B054085","CSS INDEX CERT    ","        ","2010/09/24",979.30         ,.61      ,973.40         ,945.40         ,1280.00        ,0            ,.00                ,"2008/05/05","8","2","C"
"AT000B054275","CHINA BONUS III   ","        ","2010/09/24",2166.00        ,.42      ,2157.00        ,1908.00        ,2404.00        ,0            ,.00                ,"1900/01/01","8","2","C"
"AT000B054358","CROX INDEX CERT   ","        ","2010/09/24",292.10         ,.41      ,290.90         ,287.90         ,361.50         ,0            ,.00                ,"1900/01/01","8","2","C"
"AT000B054515","SRX INDEX CERT    ","        ","2010/09/24",62.24          ,.16      ,62.14          ,60.84          ,98.34          ,0            ,.00                ,"2009/06/05","8","2","C"
"AT000B054564","ALT ENERG GAR II  ","        ","2010/09/24",99.70          ,.01      ,99.69          ,96.93          ,99.73          ,0            ,.00                ,"2010/03/17","8","2","C"
"AT000B054705","CECE VB-AFT       ","        ","2010/09/24",500.70         ,.28      ,499.30         ,433.10         ,547.80         ,0            ,.00                ,"2010/03/24","8","2","C"
"AT000B054721","PX INDEX CERT.    ","        ","2010/09/24",113.52         ,.29      ,113.19         ,109.11         ,131.61         ,0            ,.00                ,"2010/08/26","8","2","C"
"AT000B054739","BUX VB-AFT        ","        ","2010/09/24",201.50         ,.40      ,200.70         ,183.01         ,241.60         ,0            ,.00                ,"1900/01/01","8","2","C"
"AT000B054861","EUROPA BONUS CZK  ","        ","2010/09/24",6291.00        ,2.23     ,6154.00        ,5343.00        ,6539.00        ,0            ,.00                ,"1900/01/01","8","2","C"
"AT000B055488","ELEKTRINAGARVB-AFT","        ","2010/09/24",97.53          ,.00      ,97.53          ,95.09          ,103.47         ,0            ,.00                ,"2010/04/28","8","2","C"
"AT000B055918","ELEKTGAR2VB-AFT   ","        ","2010/09/24",97.14          ,-.13     ,97.27          ,95.11          ,104.66         ,0            ,.00                ,"2010/09/03","8","2","C"
"AT000B056551","TOP5 ENERGY GARANT","        ","2010/09/24",98.04          ,.07      ,97.97          ,94.87          ,98.05          ,0            ,.00                ,"2010/09/20","8","2","C"
"AT000B057427","BONUS GARANT CZK  ","        ","2010/09/24",103.80         ,.52      ,103.26         ,97.01          ,108.02         ,0            ,.00                ,"2010/04/15","8","2","C"
"AT000B057484","GOLD SHARK GAR CZK","        ","2010/09/24",101.67         ,-.66     ,102.35         ,98.73          ,111.02         ,0            ,.00                ,"2010/04/15","8","2","C"
"AT000B059225","TOP ČESKÝ BON CZ  ","        ","2010/09/24",1197.00        ,.34      ,1193.00        ,1001.00        ,1208.00        ,0            ,.00                ,"2010/09/03","8","2","C"
"AT000B059407","TOP ČESKÝ BON CZII","        ","2010/09/24",1141.00        ,.88      ,1131.00        ,962.10         ,1149.00        ,0            ,.00                ,"2010/07/28","8","2","C"
"AT0000A0AN24","GOLD INDEX SHORT  ","        ","2010/09/24",756.00         ,-1.63    ,768.50         ,756.00         ,992.20         ,0            ,.00                ,"1900/01/01","8","2","C"
"AT0000A0AN81","PX BONUS 114+     ","        ","2010/09/24",73.80          ,.82      ,73.20          ,69.75          ,85.90          ,0            ,.00                ,"2010/09/06","8","2","C"
"AT0000A0BNV7","BRENT TL+         ","        ","2010/09/24",60.70          ,3.76     ,58.50          ,47.09          ,88.79          ,0            ,.00                ,"2010/09/23","8","2","C"
"AT0000A0BUV2","PX BONUS 127 CAP  ","        ","2010/09/24",123.20         ,.08      ,123.10         ,115.95         ,123.20         ,0            ,.00                ,"2008/12/22","8","2","C"
"AT0000A0CU64","BRENT TL          ","        ","2010/09/24",75.30          ,2.73     ,73.30          ,60.45          ,104.00         ,0            ,.00                ,"2010/09/13","8","2","C"
"AT0000A0FJL7","ERSTE TL 20,2     ","        ","2010/09/24",23.40          ,6.85     ,21.90          ,13.35          ,37.04          ,0            ,.00                ,"2010/09/21","8","2","C"
"AT0000A0FPR1","BRENT TS 91,96    ","        ","2010/09/24",30.40          ,-8.95    ,33.39          ,8.59           ,53.70          ,0            ,.00                ,"2010/09/22","8","2","C"
"AT0000A0FZ74","CEZ BONUS 116 CAP ","        ","2010/09/24",997.80         ,.02      ,997.60         ,887.00         ,998.80         ,0            ,.00                ,"1900/01/01","8","2","C"
"AT0000A0F7K3","CEETX TL 800      ","        ","2010/09/24",160.11         ,2.04     ,156.91         ,130.51         ,201.10         ,0            ,.00                ,"1900/01/01","8","2","C"
"AT0000A0F7L1","CEETX TL 1200     ","        ","2010/09/24",59.45          ,5.69     ,56.25          ,24.85          ,98.55          ,0            ,.00                ,"2010/09/22","8","2","C"
"AT0000A0F7M9","CEETX INDEX LONG  ","        ","2010/09/24",348.90         ,.93      ,345.70         ,333.60         ,403.80         ,0            ,.00                ,"1900/01/01","8","2","C"
"AT0000A0F8R6","CEETX BON 1950 CAP","        ","2010/09/24",418.00         ,1.14     ,413.30         ,355.10         ,423.70         ,0            ,.00                ,"2010/01/20","8","2","C"
"AT0000A0G2U2","O2 BONUS 116 CAP  ","        ","2010/09/24",487.70         ,.06      ,487.40         ,426.00         ,487.70         ,0            ,.00                ,"1900/01/01","8","2","C"
"AT0000A00BF2","SETX INDEX LONG   ","        ","2010/09/24",262.30         ,.23      ,261.70         ,256.50         ,329.40         ,0            ,.00                ,"1900/01/01","8","2","C"
"AT0000A00BQ9","GOLD TURBO LONG   ","        ","2010/09/24",1274.00        ,-.31     ,1278.00        ,685.60         ,1408.00        ,0            ,.00                ,"2010/08/26","8","2","C"
"AT0000A00M07","CECEXT            ","        ","2010/09/24",310.80         ,1.30     ,306.80         ,277.10         ,344.40         ,0            ,.00                ,"2010/09/01","8","2","C"
"AT0000A04KP4","S-BOX DIMAX       ","        ","2010/09/24",679.00         ,1.25     ,670.60         ,623.20         ,761.50         ,0            ,.00                ,"2010/06/07","8","2","C"
"AT0000A04QY3","DAX INDEX LONG    ","        ","2010/09/24",1545.00        ,2.39     ,1509.00        ,1391.00        ,1620.00        ,0            ,.00                ,"2010/01/08","8","2","C"
"AT0000A056Y4","DAX INDEX SHORT   ","        ","2010/09/24",1540.00        ,-2.35    ,1577.00        ,1534.00        ,1975.00        ,0            ,.00                ,"2010/07/16","8","2","C"
"AT0000A07N66","INDUSTRY BASKET   ","        ","2010/09/24",178.03         ,1.43     ,175.52         ,163.72         ,198.02         ,0            ,.00                ,"1900/01/01","8","2","C"
"AT0000A07SD6","BRENT INDEX SHORT ","        ","2010/09/24",1752.00        ,-2.99    ,1806.00        ,1608.00        ,2323.00        ,0            ,.00                ,"1900/01/01","8","2","C"
"AT0000A09JM2","BRENT TS 151,07   ","        ","2010/09/24",171.20         ,-2.51    ,175.60         ,152.06         ,216.70         ,0            ,.00                ,"2010/01/21","8","2","C"
"AT0000340146","DJ EURO STOXX 50  ","        ","2010/09/24",680.80         ,2.61     ,663.50         ,627.10         ,790.30         ,0            ,.00                ,"2010/05/04","8","2","C"
"AT0000454186","CTX               ","        ","2010/09/24",453.60         ,.82      ,449.90         ,442.80         ,533.90         ,0            ,.00                ,"2010/05/18","8","2","C"
"AT0000481221","RDX               ","        ","2010/09/24",334.40         ,.09      ,334.10         ,280.70         ,393.00         ,0            ,.00                ,"2010/05/19","8","2","C"
"AT0000481403","ROTX INDEX LONG   ","        ","2010/09/24",1717.00        ,.76      ,1704.00        ,1482.00        ,2156.00        ,0            ,.00                ,"1900/01/01","8","2","C"
"AT0000489398","GOLD              ","        ","2010/09/24",2373.00        ,-.67     ,2389.00        ,1699.00        ,2713.00        ,0            ,.00                ,"2010/06/16","8","2","C"
"AT0000489778","BRENT CRUDE OIL   ","        ","2010/09/24",69.40          ,.73      ,68.90          ,58.90          ,84.80          ,0            ,.00                ,"2010/09/23","8","2","C"
"AT0000652011","ERSTE GROUP BANK  ","BAAERBAG","2010/09/24",723.90         ,1.81     ,711.00         ,652.00         ,879.90         ,249951       ,179650246.40       ,"2010/09/24","3","2","A"
"AT0000908504","VIG               ","BAAVIG  ","2010/09/24",926.00         ,-.65     ,932.10         ,797.00         ,1110.00        ,3234         ,2972684.60         ,"2010/09/24","3","2","A"
"BE0003878957","VGP               ","BAAVGP  ","2010/09/24",364.00         ,.00      ,364.00         ,364.00         ,364.00         ,0            ,.00                ,"2009/08/20","1","2","A"
"BMG200452024","CETV              ","BAACETV ","2010/09/24",444.10         ,1.39     ,438.00         ,402.40         ,727.00         ,65687        ,28885701.25        ,"2010/09/24","3","2","A"
"CS0008416251","RM-S HOLDING      ","BAAPVT  ","2010/09/24",1199.00        ,.00      ,1199.00        ,900.00         ,1223.00        ,0            ,.00                ,"2010/09/22","1","2","C"
"CS0008418869","PHILIP MORRIS ČR  ","BAATABAK","2010/09/24",9300.00        ,1.09     ,9200.00        ,7900.00        ,10300.00       ,439          ,4063393.00         ,"2010/09/24","3","2","C"
"CS0008419750","ENERGOAQUA        ","BAAENRGA","2010/09/24",1290.00        ,.00      ,1290.00        ,1290.00        ,1504.00        ,0            ,.00                ,"2010/04/09","1","2","C"
"CS0008446753","LÉČ.LÁZNĚ JÁCHYMOV","BAALAZJA","2010/09/24",1130.00        ,.00      ,1130.00        ,1130.00        ,1130.00        ,0            ,.00                ,"2009/05/15","1","2","C"
"CZ0000000039","ING BANK 4,50/19  ","BDAINGB ","2010/09/24",70.00          ,.00      ,70.00          ,70.00          ,70.00          ,0            ,.00                ,"2009/01/08","1","2","C"
"CZ0000000054","EIB 6,50/15       ","BDBEIB  ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/02/19","1","2","A"
"CZ0000000104","EIB 0,00/23       ","BDDEIB  ","2010/09/24",40.98          ,.00      ,40.98          ,40.98          ,40.98          ,0            ,.00                ,"2003/12/16","1","2","A"
"CZ0000000120","EIB 4,15/18       ","BDFEIB  ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2007/03/22","1","2","A"
"CZ0000000153","EIB VAR/13        ","BDIEIB  ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2006/03/15","1","2","A"
"CZ0000000179","EIB VAR/18        ","BDKEIB  ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2008/05/20","1","2","A"
"CZ0000000187","EIB VAR/18        ","BDLEIB  ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","A"
"CZ0000000195","ORCO VAR/11       ","BDBORCO ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2008/05/06","1","2","A"
"CZ0000000211","ECM VAR/12        ","BDAECM  ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/07/23","1","2","A"
"CZ0000000237","HOME CR. BV VAR/12","BDBHOCBV","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/09/20","1","2","C"
"CZ0000000245","HOME CR. BV0,00/15","BDCHOCBV","2010/09/24",70.37          ,.00      ,70.37          ,70.37          ,70.37          ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000300041","EUR/CZK TL 23,000 ","        ","2010/09/24",62.50          ,.00      ,62.50          ,60.80          ,114.85         ,0            ,.00                ,"1900/01/01","8","2","C"
"CZ0000300058","EUR/CZK TS 28,000 ","        ","2010/09/24",137.30         ,.00      ,137.30         ,78.72          ,139.20         ,0            ,.00                ,"1900/01/01","8","2","C"
"CZ0000700133","SD34 KUP13 6,95/14","OLMSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/08/26","1","2","C"
"CZ0000700141","SD34 KUP14 6,95/15","OLNSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/08/26","1","2","C"
"CZ0000700489","SD K11 4,60/14    ","OSKSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/08/26","1","2","C"
"CZ0000700752","SD K9 3,75/14     ","OXISTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/07/27","1","1","C"
"CZ0000700794","SD K13 3,75/18    ","OXMSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/07/27","1","2","C"
"CZ0000700802","SD K14 3,75/19    ","OXNSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/07/27","1","2","C"
"CZ0000700901","SD K8 4,20/14     ","CAHSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000700943","SD K12 4,20/18    ","CALSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000700950","SD K13 4,20/19    ","CAMSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000700976","SD K15 4,20/21    ","CAOSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/03/02","1","2","C"
"CZ0000700984","SD K16 4,20/22    ","CAPSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/03/02","1","2","C"
"CZ0000700992","SD K17 4,20/23    ","CAQSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000701008","SD K18 4,20/24    ","CARSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000701255","SD K7 4,00/14     ","CCGSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000701370","SD K7 4,70/14     ","CDGSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000701412","SD K11 4,70/18    ","CDKSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000701420","SD K12 4,70/19    ","CDLSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000701453","SD K15 4,70/22    ","CDOSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000701537","SD K7 4,85/14     ","CEGSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
